name,category,rating,address
별미곱창,곱창,별점 4.48,서울 송파구 오금로11길 11 1층
야키토리 나루토 상수,이자카야,별점 4.88,서울 마포구 독막로9길 26 반지층 야키토리나루토
춘천한옥집,한식,별점 4.36,서울 강남구 강남대로102길 29 지하1층
발리문,아시아음식,별점 4.62,서울 마포구 동교로 248-1 2층
타파코파,스페인음식,방문자 리뷰 1287,서울 용산구 한강대로54길 29 1층
오이지 대학로,한식,별점 4.5,서울 종로구 대학로9길 33
뉴오더클럽 연남,피자,방문자 리뷰 1557,서울 마포구 동교로34길 3
카이센동우니도,일식당,별점 4.84,서울 강남구 압구정로2길 15 1층 카이센동우니도
나리의 집,돼지고기구이,별점 4.36,서울 용산구 이태원로 245
초이다이닝 송파점,일식당,방문자 리뷰 6533,서울 송파구 백제고분로45길 21-1 2층
온센 강남점,일식당,별점 4.35,서울 서초구 서초대로73길 42 리가스퀘어 1층 111호
솔솥 연남점,한식,별점 4.51,서울 마포구 동교로38길 35
카페 공명 연남점,카페,별점 4.5,서울 마포구 연희로 11 1층 카페 공명 연남
아오이토리,베이커리,별점 4.44,서울 마포구 와우산로29길 8 K.C빌딩
자연도소금빵in 성수,베이커리,방문자 리뷰 2303,서울 성동구 연무장길 56-1 1층
인왕산 대충유원지,카페,별점 4.38,서울 종로구 필운대로 46 4층
플롭 안국,피자,별점 4.6,서울 종로구 북촌로2길 5
이츠야,돈가스,방문자 리뷰 134,서울 마포구 양화로6길 99-9
파치노 에스프레소 바,카페,방문자 리뷰 508,서울 강남구 강남대로162길 37 1층(신사동)
리틀넥 청담,이탈리아음식,별점 4.49,서울 강남구 도산대로51길 17
Summer Lane,브런치,방문자 리뷰 1282,서울 용산구 이태원로55가길 49 1층 summerlane
쿠나,이탈리아음식,별점 4.64,서울 성동구 연무장5길 9-16 105호
개나리아구찜 본점,한식,별점 4.64,서울 송파구 오금로15길 7-8 1층
올딧세,카페,방문자 리뷰 601,서울 용산구 한강대로21길 29-16 1층
길목,돼지고기구이,방문자 리뷰 809,서울 강남구 영동대로129길 10 1층
식당네오,이자카야,방문자 리뷰 34,서울 송파구 삼전로12길 4 101호
광화문국밥,한식,별점 4.44,서울 중구 세종대로21길 53
정식당,한식,방문자 리뷰 1686,서울 강남구 선릉로158길 11
만동제과 연남점,베이커리,별점 4.51,서울 서대문구 연희로 32
호수집,닭요리,별점 4.27,서울 중구 청파로 443
홈보이서울,중식당,별점 4.38,서울 종로구 사직로 127-14 1층 홈보이서울
뉴욕아파트먼트,양식,방문자 리뷰 4643,서울 마포구 월드컵로3길 14 마포한강2차푸르지오상가 217호
타코튜즈데이 성수 본점,멕시코,방문자 리뷰 14850,서울 성동구 왕십리로10길 10 1층
자하손만두,만두,방문자 리뷰 2976,서울 종로구 백석동길 12
죠죠 성수점,일식당,방문자 리뷰 2283,서울 성동구 연무장17길 7 1층
디슬로우 청담,피자,별점 4.85,서울 강남구 선릉로160길 7 지하1층
본디 잠실본점,고기요리,방문자 리뷰 3198,서울 송파구 백제고분로41길 18 1층 일부
러스트 베이커리,베이커리,방문자 리뷰 7126,서울 영등포구 경인로79길 15 러스트베이커리
터틀힙 연남,카페,방문자 리뷰 1911,서울 마포구 연남로1길 44 1층 터틀힙
남포면옥,냉면,별점 4.22,서울 중구 을지로3길 24
중앙감속기,퓨전음식,별점 4.55,서울 성동구 성수일로6길 7-1 1층 중앙감속기
이국 도산,양식,방문자 리뷰 762,서울 강남구 언주로164길 17 지하1층
유림면,국수,별점 4.25,서울 중구 서소문로 139-1
카와카츠 본점,돈가스,방문자 리뷰 4477,서울 마포구 동교로 126 1층 102호
투떰즈업,베이커리,방문자 리뷰 1421,서울 마포구 희우정로16길 53 1층
카와카츠 합정점,돈가스,별점 4.81,서울 마포구 양화로 78-7 1층 카와카츠
매운향솥 마라탕 마라샹궈,중식당,별점 4.48,서울 광진구 동일로18길 61 1층
을지 장만옥,요리주점,별점 4.26,서울 중구 을지로12길 12 1층
오제제 광화문,일식당,방문자 리뷰 2488,서울 중구 세종대로 136 지하 3층
카페폭포,카페,방문자 리뷰 794,서울 서대문구 연희로 262-24
양키통닭 본점,맥주,별점 4.48,서울 영등포구 도림로139길 13
소바연구소 신촌본점,소바,방문자 리뷰 3987,서울 서대문구 명물길 50-9 1층
부촌육회 본점,고기요리,별점 4.51,서울 종로구 종로 200-12
훼미리손칼국수보쌈,칼국수,방문자 리뷰 1857,서울 성동구 왕십리로 134
다운타우너 한남,햄버거,별점 4.58,서울 용산구 대사관로5길 12 1층 다운타우너 한남점
해피니스 대학로점,중식당,방문자 리뷰 1513,서울 종로구 대학로11길 40 세훈빌딩 1층
키에리,케이크전문,별점 4.1,서울 용산구 이태원로26길 16-8
우와,일식당,별점 4.5,서울 강남구 강남대로158길 17 1층
월래순교자관,중식당,별점 4.33,서울 구로구 디지털로19길 12
황금콩밭,두부요리,별점 4.37,서울 마포구 마포대로16길 9
크레이지카츠,돈가스,별점 4.56,서울 마포구 포은로2나길 44
떡도리탕 강남본점,닭볶음탕,별점 4.47,서울 강남구 테헤란로1길 28-9 1층
건대사시미,생선회,별점 4.46,서울 광진구 아차산로33길 23
이진칸,이자카야,별점 4.74,서울 용산구 보광로 124 3층 이진칸
노티드 스튜디오 청담,카페,별점 4.44,서울 강남구 도산대로53길 15 1층
세컨디포레스트 송리단길점,스파게티,별점 4.69,서울 송파구 백제고분로45길 6 1층
피자네버슬립스 합정상수점,피자,별점 4.57,서울 마포구 양화로6길 73 4층 피자네버슬립스
이태리국시 성수,양식,방문자 리뷰 555,서울 성동구 왕십리로8길 18-1 3층
애성회관한우곰탕,곰탕,별점 4.38,서울 중구 남대문로5길 23 세창빌딩 1층
스파게티가있는풍경 광화문점,스파게티,방문자 리뷰 1009,서울 종로구 새문안로 103-1 2층
살라댕템플,양식,방문자 리뷰 748,서울 성동구 성수이로16길 32
스미카츠 압구정 본점,돈가스,방문자 리뷰 1662,서울 강남구 선릉로157길 23-3 지상 1층 101호
더베이커스테이블,베이커리,별점 4.28,서울 용산구 녹사평대로 244-1
빠니드 엠 무니,카페,방문자 리뷰 1165,서울 강남구 압구정로56길 16
