name,location,category,tags
후암동108계단,용산구,1.0,#경성호국신사#관광지#용산108계단#타일벽화#해방촌계단#후암동계단
열린송현녹지광장,종로구,1.0,#경복궁#관광지#광화문#녹지광장#서울가볼만한곳#송현동#아이와가볼만한곳
서울 석촌동 고분군,송파구,1.0,#걷기길#관광지#교과서속여행#서울석촌동고분군#수도권#역사#역사공부
볼베어파크 롯데몰 은평점,은평구,1.0,#관광지#대형키즈카페#롯데몰은평점#롯데몰키즈카페#볼베어파크#볼베어파크은평점
관음사국기봉,관악구,1.0,#관광지#관악산#등산#서울_여행지_추천#서울가볼만한곳#서울권
서울역 옥상정원,중구,1.0,#관광지
왜고개,용산구,1.0,#관광지#서울성지순례#성지순례#왜고개#용산왜고개#천주교성지
해방촌마을,용산구,1.0,#108계단#관광지#내이름은김삼순촬영지#소니카메라촬영지#이태원클라쓰촬영지
파리공원,양천구,1.0,#걷기길#관광지#나들이#서울도심여행#아이와함께#연인과함께#자연
"지양산(무장애숲길,유아숲체험원)",양천구,1.0,#관광지#남녀노소#산책로#산책하기좋은곳#아이와함께#이색체험#체험프로그램
삼각어린이공원,구로구,1.0,#관광지
서울식물원 호수공원,강서구,1.0,#관광지#마곡식물원#산책하기좋은곳#생태교육장#서울식물원#서울식물원호수공원
황금내근린공원,강서구,1.0,#강서구공원#관광지#근린공원#인조잔디족구장#황금내근린공원
북한산 족두리봉,은평구,1.0,#관광지#등산#북한산#서울_여행지_추천#서울가볼만한곳#서울권
무수골계곡,도봉구,1.0,#관광지#도봉계곡#도봉산계곡#무수골계곡#보문사계곡#서울계곡
학동공원,강남구,1.0,#강남근린공원#관광지#논현동공원#신사동공원#직장인산책공원#학동공원
문래근린공원,영등포구,1.0,#516벙커#관광지#문래공원#문래근린공원#문래창작촌#박정희대통령동상
서울 연세대학교 스팀슨관,서대문구,1.0,#관광지#근대문화유산#서울연세대학교스팀슨관#역사#역사공부#역사관광지
불국사,강남구,1.0,#강남구사찰#관광지#대모산#대모산사찰#불교#불교문화#불국사#사찰
스토리지북앤필름,용산구,1.0,#관광지#남녀노소#독립출판물전문서점#독서여행#동네책방#소설책
뚝섬 한강공원 벽천마당,광진구,1.0,#관광지#뚝섬한강공원#뚝섬한강공원벽천마당#벽천마당#분수공원#한강공원
뮤지엄 김치간,종로구,1.0,#관광지#뮤지엄김치간#박물관#산업관광#수도권#아이와함께#외국인
사직공원(서울),종로구,1.0,#관광지#교과서속여행#사직공원(서울)#산책길#산책하기#산책하기좋은곳
전통주갤러리,종로구,1.0,#관광지
삼청공원,종로구,1.0,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#삼청공원
무궁화동산,종로구,1.0,#공원#관광지#무궁화#무궁화공원#산책길#산책코스#산책하기#산책하기좋은곳
